franchise,releases,totalGross,titles,original
Terminator,6,670922159,Terminator 2: Judgment Day > 07-03-1991 | Terminator 3: Rise of the Machines > 07-02-2003 | Terminator Salvation > 05-21-2009 | Terminator Genisys > 07-01-2015 | Terminator: Dark Fate > 11-01-2019 | The Terminator > 10-26-1984,The Terminator > 10-26-1984
The Matrix,4,630057144,The Matrix Reloaded > 05-15-2003 | The Matrix > 03-31-1999 | The Matrix Revolutions > 11-05-2003 | The Matrix Resurrections > 12-22-2021,The Matrix > 03-31-1999
Alvin and the Chipmunks,5,662743627,Alvin and the Chipmunks: The Squeakquel > 12-23-2009 | Alvin and the Chipmunks > 12-14-2007 | Alvin and the Chipmunks: Chipwrecked > 12-16-2011 | Alvin and the Chipmunks: The Road Chip > 12-18-2015 | The Chipmunk Adventure > 05-22-1987,The Chipmunk Adventure > 05-22-1987
Madagascar,4,673848864,Madagascar 3: Europe's Most Wanted > 06-08-2012 | Madagascar > 05-27-2005 | Madagascar: Escape 2 Africa > 11-07-2008 | Penguins of Madagascar > 11-26-2014,Madagascar > 05-27-2005
Men in Black,5,706764973,Men in Black > 07-02-1997 | Men in Black II > 07-03-2002 | Men in Black³ > 05-25-2012 | Men in Black: International > 06-14-2019 | Spider-Man/Men in Black II > 09-06-2002,Men in Black > 07-02-1997
Spider-Man,9,3298475111,Spider-Man: No Way Home > 12-17-2021 | Spider-Man > 05-03-2002 | Spider-Man: Far from Home > 07-02-2019 | Spider-Man 2 > 06-30-2004 | Spider-Man 3 > 05-04-2007 | Spider-Man: Homecoming > 07-07-2017 | The Amazing Spider-Man > 07-03-2012 | The Amazing Spider-Man 2 > 05-02-2014 | Spider-Man: Into the Spider-Verse > 12-14-2018 | Spider-Man: Across the Spider-Verse > 06-02-2023,Spider-Man > 05-03-2002
Kung Fu Panda,4,717802893,Kung Fu Panda > 06-06-2008 | Kung Fu Panda 4 > 03-08-2024 | Kung Fu Panda 2 > 05-26-2011 | Kung Fu Panda 3 > 01-29-2016,Kung Fu Panda > 06-06-2008
Teenage Mutant Ninja Turtles,7,702215376,Teenage Mutant Ninja Turtles > 08-08-2014 | Teenage Mutant Ninja Turtles > 03-30-1990 | Teenage Mutant Ninja Turtles: Mutant Mayhem > 08-02-2023 | Teenage Mutant Ninja Turtles: Out of the Shadows > 06-03-2016 | Teenage Mutant Ninja Turtles II: The Secret of the Ooze > 03-22-1991 | TMNT > 03-23-2007 | Teenage Mutant Ninja Turtles III > 03-19-1993,Teenage Mutant Ninja Turtles > 03-30-1990
Ghostbusters,5,712825466,Ghostbusters > 06-08-1984 | Ghostbusters: Afterlife > 11-19-2021 | Ghostbusters > 07-15-2016 | Ghostbusters: Frozen Empire > 03-22-2024 | Ghostbusters II > 06-16-1989,Ghostbusters > 06-08-1984
Alien,9,691699878,Prometheus > 06-08-2012 | Alien: Romulus > 08-16-2024 | Aliens > 07-18-1986 | Alien vs. Predator > 08-13-2004 | Alien > 05-25-1979 | Alien: Covenant > 05-19-2017 | Alien³ > 05-22-1992 | Alien Resurrection > 11-26-1997 | Aliens vs. Predator: Requiem > 12-25-2007,Alien > 05-25-1979
Godzilla,8,760828799,Godzilla > 05-16-2014 | Godzilla x Kong: The New Empire > 03-29-2024 | Godzilla > 05-20-1998 | Godzilla: King of the Monsters > 05-31-2019 | Godzilla vs. Kong > 03-31-2021 | Godzilla 2000 > 08-18-2000 | Godzilla 1985 > 08-23-1985 | Shin Godzilla > 10-11-2016,Godzilla 1985 > 08-23-1985
Bourne,5,801012974,The Bourne Ultimatum > 08-03-2007 | The Bourne Supremacy > 07-23-2004 | Jason Bourne > 07-29-2016 | The Bourne Identity > 06-14-2002 | The Bourne Legacy > 08-10-2012,The Bourne Identity > 06-14-2002
Ice Age,5,793676582,Ice Age: Dawn of the Dinosaurs > 07-01-2009 | Ice Age: The Meltdown > 03-31-2006 | Ice Age > 03-15-2002 | Ice Age: Continental Drift > 07-13-2012 | Ice Age: Collision Course > 07-22-2016,Ice Age > 03-15-2002
Toy Story,4,1286691300,Toy Story 4 > 06-21-2019 | Toy Story 3 > 06-18-2010 | Toy Story 2 > 11-19-1999 | Toy Story > 11-22-1995,Toy Story > 11-22-1995
Star Trek,13,1400952742,Star Trek > 05-08-2009 | Star Trek Into Darkness > 05-16-2013 | Star Trek Beyond > 07-22-2016 | Star Trek IV: The Voyage Home > 11-26-1986 | Star Trek: First Contact > 11-22-1996 | Star Trek: The Motion Picture > 12-07-1979 | Star Trek II: The Wrath of Khan > 06-04-1982 | Star Trek III: The Search for Spock > 06-01-1984 | Star Trek: Generations > 11-18-1994 | Star Trek VI: The Undiscovered Country > 12-06-1991 | Star Trek: Insurrection > 12-11-1998 | Star Trek V: The Final Frontier > 06-09-1989 | Star Trek: Nemesis > 12-13-2002,Star Trek: The Motion Picture > 12-07-1979
Mission: Impossible,7,1327156313,Mission: Impossible - Fallout > 07-27-2018 | Mission: Impossible II > 05-24-2000 | Mission: Impossible - Ghost Protocol > 12-16-2011 | Mission: Impossible - Rogue Nation > 07-31-2015 | Mission: Impossible > 05-22-1996 | Mission: Impossible - Dead Reckoning Part One > 07-12-2023 | Mission: Impossible III > 05-05-2006,Mission: Impossible > 05-22-1996
Twilight,6,1365922346,The Twilight Saga: Eclipse > 06-30-2010 | The Twilight Saga: New Moon > 11-20-2009 | The Twilight Saga: Breaking Dawn - Part 2 > 11-16-2012 | The Twilight Saga: Breaking Dawn - Part 1 > 11-18-2011 | Twilight > 11-21-2008 | Twilight/New Moon > 06-29-2010,Twilight > 11-21-2008
Transformers,7,1582401601,Transformers: Revenge of the Fallen > 06-24-2009 | Transformers: Dark of the Moon > 06-29-2011 | Transformers > 07-03-2007 | Transformers: Age of Extinction > 06-27-2014 | Transformers: The Last Knight > 06-21-2017 | Bumblebee > 12-21-2018 | The Transformers: The Movie > 08-08-1986,The Transformers: The Movie > 08-08-1986
Pirates of the Caribbean,5,1451780833,Pirates of the Caribbean: Dead Man's Chest > 07-07-2006 | Pirates of the Caribbean: At World's End > 05-25-2007 | Pirates of the Caribbean: The Curse of the Black Pearl > 07-09-2003 | Pirates of the Caribbean: On Stranger Tides > 05-20-2011 | Pirates of the Caribbean: Dead Men Tell No Tales > 05-26-2017,Pirates of the Caribbean: The Curse of the Black Pearl > 07-09-2003
Avatar,2,1433841906,Avatar > 12-18-2009 | Avatar: The Way of Water > 12-16-2022,Avatar > 12-18-2009
Shrek,6,1606086408,Shrek 2 > 05-19-2004 | Shrek the Third > 05-18-2007 | Shrek > 05-16-2001 | Shrek Forever After > 05-21-2010 | Puss in Boots: The Last Wish > 12-21-2022 | Puss in Boots > 10-28-2011,Shrek > 05-16-2001
The Fast and the Furious,11,2009889331,Furious 7 > 04-03-2015 | Fast & Furious 6 > 05-24-2013 | The Fate of the Furious > 04-14-2017 | Fast Five > 04-29-2011 | Fast & Furious Presents: Hobbs & Shaw > 08-02-2019 | F9: The Fast Saga > 06-25-2021 | Fast & Furious > 04-03-2009 | Fast X > 05-19-2023 | The Fast and the Furious > 06-22-2001 | 2 Fast 2 Furious > 06-06-2003 | The Fast and the Furious: Tokyo Drift > 06-16-2006,The Fast and the Furious > 06-22-2001
Middle Earth,6,1846671531,The Lord of the Rings: The Return of the King > 12-17-2003 | The Lord of the Rings: The Two Towers > 12-18-2002 | The Lord of the Rings: The Fellowship of the Ring > 12-19-2001 | The Hobbit: An Unexpected Journey > 12-14-2012 | The Hobbit: The Desolation of Smaug > 12-13-2013 | The Hobbit: The Battle of the Five Armies > 12-17-2014,The Lord of the Rings: The Fellowship of the Ring > 12-19-2001
The Hunger Games,5,1617889120,The Hunger Games: Catching Fire > 11-22-2013 | The Hunger Games > 03-23-2012 | The Hunger Games: Mockingjay - Part 1 > 11-21-2014 | The Hunger Games: Mockingjay - Part 2 > 11-20-2015 | The Hunger Games: The Ballad of Songbirds & Snakes > 11-17-2023,The Hunger Games > 03-23-2012
Despicable Me,6,1950168690,Minions: The Rise of Gru > 07-01-2022 | Despicable Me 2 > 07-03-2013 | Despicable Me 4 > 07-03-2024 | Minions > 07-10-2015 | Despicable Me 3 > 06-30-2017 | Despicable Me > 07-09-2010,Despicable Me > 07-09-2010
Jurassic Park,6,2214167966,Jurassic World > 06-12-2015 | Jurassic World: Fallen Kingdom > 06-22-2018 | Jurassic World Dominion > 06-10-2022 | Jurassic Park > 06-11-1993 | The Lost World: Jurassic Park > 05-23-1997 | Jurassic Park III > 07-18-2001,Jurassic Park > 06-11-1993
DC Extended Universe,15,2781196582,Wonder Woman > 06-02-2017 | Aquaman > 12-21-2018 | Batman v Superman: Dawn of Justice > 03-25-2016 | Suicide Squad > 08-05-2016 | Man of Steel > 06-14-2013 | Justice League > 11-17-2017 | Black Adam > 10-21-2022 | Shazam! > 04-05-2019 | Aquaman and the Lost Kingdom > 12-22-2023 | The Flash > 06-16-2023 | Birds of Prey > 02-07-2020 | Blue Beetle > 08-18-2023 | Shazam! Fury of the Gods > 03-17-2023 | The Suicide Squad > 08-06-2021 | Wonder Woman 1984 > 12-25-2020,Man of Steel > 06-14-2013
Batman,12,2777053712,The Dark Knight > 07-18-2008 | The Dark Knight Rises > 07-20-2012 | The Batman > 03-04-2022 | Batman v Superman: Dawn of Justice > 03-25-2016 | Batman > 06-23-1989 | Batman Begins > 06-15-2005 | Batman Forever > 06-16-1995 | The Lego Batman Movie > 02-10-2017 | Batman Returns > 06-19-1992 | Batman & Robin > 06-20-1997 | Batman: Mask of the Phantasm > 12-25-1993 | Batman: The Killing Joke > 07-25-2016,Batman > 06-23-1989
J.K. Rowling's Wizarding World,12,2881250142,Harry Potter and the Deathly Hallows: Part 2 > 07-15-2011 | Harry Potter and the Sorcerer's Stone > 11-16-2001 | Harry Potter and the Half-Blood Prince > 07-15-2009 | Harry Potter and the Deathly Hallows: Part 1 > 11-19-2010 | Harry Potter and the Order of the Phoenix > 07-11-2007 | Harry Potter and the Goblet of Fire > 11-18-2005 | Harry Potter and the Chamber of Secrets > 11-15-2002 | Harry Potter and the Prisoner of Azkaban > 06-04-2004 | Fantastic Beasts and Where to Find Them > 11-18-2016 | Fantastic Beasts: The Crimes of Grindelwald > 11-16-2018 | Fantastic Beasts: The Secrets of Dumbledore > 04-15-2022 | Harry  Potter IMAX Marathon > 10-14-2016,Harry Potter and the Sorcerer's Stone > 11-16-2001
X-Men,14,2458462356,Deadpool > 02-12-2016 | Deadpool 2 > 05-18-2018 | X-Men: The Last Stand > 05-26-2006 | X-Men: Days of Future Past > 05-23-2014 | Logan > 03-03-2017 | X2: X-Men United > 05-02-2003 | X-Men Origins: Wolverine > 05-01-2009 | X-Men > 07-14-2000 | X-Men: Apocalypse > 05-27-2016 | X-Men: First Class > 06-03-2011 | The Wolverine > 07-26-2013 | X-Men: Dark Phoenix > 06-07-2019 | The New Mutants > 08-28-2020 | Once Upon a Deadpool > 12-12-2018,X-Men > 07-14-2000
Disney Live Action Reimaginings,16,3493327115,The Lion King > 07-19-2019 | Beauty and the Beast > 03-17-2017 | The Jungle Book > 04-15-2016 | Aladdin > 05-24-2019 | Alice in Wonderland > 03-05-2010 | Maleficent > 05-30-2014 | Oz the Great and Powerful > 03-08-2013 | Cinderella > 03-13-2015 | 101 Dalmatians > 11-27-1996 | Dumbo > 03-29-2019 | Maleficent: Mistress of Evil > 10-18-2019 | Cruella > 05-28-2021 | Alice Through the Looking Glass > 05-27-2016 | Pete's Dragon > 08-12-2016 | 102 Dalmatians > 11-22-2000 | The Jungle Book > 12-25-1994,
Star Wars,13,4906642167,Star Wars: Episode VII - The Force Awakens > 12-18-2015 | Star Wars: Episode VIII - The Last Jedi > 12-15-2017 | Rogue One: A Star Wars Story > 12-16-2016 | Star Wars: Episode IX - The Rise of Skywalker > 12-20-2019 | Star Wars: Episode I - The Phantom Menace > 05-19-1999 | Star Wars: Episode III - Revenge of the Sith > 05-19-2005 | Star Wars: Episode IV - A New Hope > 05-25-1977 | Star Wars: Episode II - Attack of the Clones > 05-16-2002 | Star Wars: Episode VI - Return of the Jedi > 05-25-1983 | Solo: A Star Wars Story > 05-25-2018 | Star Wars: Episode V - The Empire Strikes Back > 05-21-1980 | Star Wars: Episode IV - A New Hope > 01-31-1997 | Star Wars: Episode V - The Empire Strikes Back > 02-21-1997,Star Wars: Episode IV - A New Hope > 05-25-1977
