franchise,releases,totalGross,titles,original
xXx Trilogy,3,213881727,xXx > 08-09-2002 | xXx: Return of Xander Cage > 01-20-2017 | xXx: State of the Union > 04-29-2005,xXx > 08-09-2002
The Naked Gun,3,216819186,The Naked Gun 2½: The Smell of Fear > 06-28-1991 | The Naked Gun: From the Files of Police Squad! > 12-02-1988 | Naked Gun 33 1/3: The Final Insult > 03-18-1994,The Naked Gun: From the Files of Police Squad! > 12-02-1988
Creed,2,225483470,Creed II > 11-21-2018 | Creed > 11-25-2015,Creed > 11-25-2015
Ride Along,2,226160030,Ride Along > 01-17-2014 | Ride Along 2 > 01-15-2016,Ride Along > 01-17-2014
Big Momma,3,225640824,"Big Momma's House > 06-02-2000 | Big Momma's House 2 > 01-27-2006 | Big Mommas: Like Father, Like Son > 02-18-2011",Big Momma's House > 06-02-2000
Fallen,3,230480336,Olympus Has Fallen > 03-22-2013 | Angel Has Fallen > 08-23-2019 | London Has Fallen > 03-04-2016,Olympus Has Fallen > 03-22-2013
Barbershop,4,231274783,Barbershop > 09-13-2002 | Barbershop 2: Back in Business > 02-06-2004 | Barbershop: The Next Cut > 04-15-2016 | Beauty Shop > 03-30-2005,Barbershop > 09-13-2002
Dumb and Dumber,3,239659849,Dumb and Dumber > 12-16-1994 | Dumb and Dumber To > 11-14-2014 | Dumb and Dumberer: When Harry Met Lloyd > 06-13-2003,Dumb and Dumber > 12-16-1994
The Ring,3,233152400,The Ring > 10-18-2002 | The Ring Two > 03-18-2005 | Rings > 02-03-2017,The Ring > 10-18-2002
Police Academy,7,239643235,Police Academy > 03-23-1984 | Police Academy 2: Their First Assignment > 03-29-1985 | Police Academy 3: Back in Training > 03-21-1986 | Police Academy 4: Citizens on Patrol > 04-03-1987 | Police Academy 5: Assignment: Miami Beach > 03-18-1988 | Police Academy 6: City Under Siege > 03-10-1989 | Police Academy: Mission to Moscow > 08-26-1994,Police Academy > 03-23-1984
Scooby-Doo,3,239699422,Scooby-Doo > 06-14-2002 | Scooby-Doo 2: Monsters Unleashed > 03-26-2004 | Scoob! > 05-21-2021,Scooby-Doo > 06-14-2002
Paul Blart,2,217374368,Paul Blart: Mall Cop > 01-16-2009 | Paul Blart: Mall Cop 2 > 04-17-2015,Paul Blart: Mall Cop > 01-16-2009
The Expendables,4,244129413,The Expendables > 08-13-2010 | The Expendables 2 > 08-17-2012 | The Expendables 3 > 08-15-2014 | The Expendables 4 > 09-22-2023,The Expendables > 08-13-2010
Maze Runner,3,242157497,The Maze Runner > 09-19-2014 | Maze Runner: The Scorch Trials > 09-18-2015 | Maze Runner: The Death Cure > 01-26-2018,The Maze Runner > 09-19-2014
The Croods,2,245737240,The Croods > 03-22-2013 | The Croods: A New Age > 11-25-2020,The Croods > 03-22-2013
Cloudy with a Chance of Meatballs,2,244663842,Cloudy with a Chance of Meatballs > 09-18-2009 | Cloudy with a Chance of Meatballs 2 > 09-27-2013,Cloudy with a Chance of Meatballs > 09-18-2009
Underworld,5,252766892,Underworld: Awakening > 01-20-2012 | Underworld: Evolution > 01-20-2006 | Underworld > 09-19-2003 | Underworld: Rise of the Lycans > 01-23-2009 | Underworld: Blood Wars > 01-06-2017,Underworld > 09-19-2003
SpongeBob,3,253222810,The SpongeBob Movie: Sponge Out of Water > 02-06-2015 | The SpongeBob SquarePants Movie > 11-19-2004 | The SpongeBob Movie: Sponge on the Run > 08-14-2020,The SpongeBob SquarePants Movie > 11-19-2004
Trolls,3,257303004,Trolls > 11-04-2016 | Trolls Band Together > 11-17-2023 | Trolls World Tour > 04-10-2020,Trolls > 11-04-2016
Insidious,4,257559485,Insidious: Chapter 2 > 09-13-2013 | Insidious: The Last Key > 01-05-2018 | Insidious > 04-01-2011 | Insidious: Chapter 3 > 06-05-2015,Insidious > 04-01-2011
Beetlejuice,2,264476004,Beetlejuice Beetlejuice > 09-06-2024 | Beetlejuice > 03-30-1988,Beetlejuice > 03-30-1988
Mamma Mia!,2,264925903,Mamma Mia! > 07-18-2008 | Mamma Mia! Here We Go Again > 07-20-2018,Mamma Mia! > 07-18-2008
Final Destination,5,263455755,The Final Destination > 08-28-2009 | Final Destination 3 > 02-10-2006 | Final Destination > 03-17-2000 | Final Destination 2 > 01-31-2003 | Final Destination 5 > 08-12-2011,Final Destination > 03-17-2000
The Smurfs,4,269886444,The Smurfs > 07-29-2011 | The Smurfs 2 > 07-31-2013 | Smurfs: The Lost Village > 04-07-2017 | The Smurfs and the Magic Flute > 10-07-1983,The Smurfs and the Magic Flute > 10-07-1983
